_time,host,EventCode,Accin,Dominio Fuente,Usuario Fuente,Dominio Objetivo,Usuario Objetivo
Tue Jun  4 08:52:17 2024,ARBA-CPSA-DC01,4723,An attempt was made to change an account's password,MAD,ewanza,MAD,ewanza
Tue Jun  4 08:39:10 2024,ARBA-CPSA-DC01,4723,An attempt was made to change an account's password,MAD,aortega,MAD,aortega
Tue Jun  4 08:19:25 2024,AZE-CPSA-DC04,4767,A user account was unlocked,MAD,MSOL_f2675ea66c7b,MAD,jgimenez
Tue Jun  4 08:15:49 2024,ARBA-CPSA-DC02,4723,An attempt was made to change an account's password,MAD,e.aulacio,MAD,e.aulacio
Tue Jun  4 07:28:50 2024,ARBA-CPSA-DC02,4723,An attempt was made to change an account's password,MAD,ihidalgo,MAD,ihidalgo
Tue Jun  4 02:08:09 2024,ARBA-CPSA-DC02,4740,A user account was locked out,MAD,ARBA-CPSA-DC02$,ARBA-VOSA-DC01,aortiz
Mon Jun  3 19:38:10 2024,ARBA-CPSA-DC02,4723,An attempt was made to change an account's password,MAD,PorteriaNP,MAD,PorteriaNP
Mon Jun  3 17:56:20 2024,ARBA-CPSA-DC01,4723,An attempt was made to change an account's password,MAD,rzeguin,MAD,rzeguin
Mon Jun  3 17:08:24 2024,ARBA-CPSA-DC02,4723,An attempt was made to change an account's password,MAD,eterraneo,MAD,eterraneo
Mon Jun  3 16:26:27 2024,ARBA-CPSA-DC02,4740,A user account was locked out,MAD,ARBA-CPSA-DC02$,ARCECO01PI01,jgimenez
Mon Jun  3 16:26:27 2024,ARBA-CPSA-DC01,4740,A user account was locked out,MAD,ARBA-CPSA-DC01$,ARCECO01PI01,jgimenez
Mon Jun  3 15:51:28 2024,AZE-CPSA-DC04,4767,A user account was unlocked,MAD,MSOL_f2675ea66c7b,MAD,hgonzalez
Mon Jun  3 15:51:28 2024,AZE-CPSA-DC04,4724,An attempt was made to reset an accounts password,MAD,MSOL_f2675ea66c7b,MAD,hgonzalez
Mon Jun  3 15:49:53 2024,AZE-CPSA-DC04,4724,An attempt was made to reset an accounts password,MAD,MSOL_f2675ea66c7b,MAD,hgonzalez
Mon Jun  3 15:18:02 2024,ARBA-CPSA-DC01,4722,A user account was enabled,MAD,e.fbernardi_adm,MAD,aacciarresi
Mon Jun  3 15:18:01 2024,ARBA-CPSA-DC01,4724,An attempt was made to reset an accounts password,MAD,e.fbernardi_adm,MAD,aacciarresi
Mon Jun  3 15:18:01 2024,ARBA-CPSA-DC01,4720,A user account was created,MAD,e.fbernardi_adm,MAD,aacciarresi
Mon Jun  3 14:36:06 2024,AZE-CPSA-DC04,4767,A user account was unlocked,MAD,MSOL_f2675ea66c7b,MAD,nsandoval
Mon Jun  3 14:36:06 2024,AZE-CPSA-DC04,4724,An attempt was made to reset an accounts password,MAD,MSOL_f2675ea66c7b,MAD,nsandoval
Mon Jun  3 14:35:48 2024,AZE-CPSA-DC04,4724,An attempt was made to reset an accounts password,MAD,MSOL_f2675ea66c7b,MAD,nsandoval
Mon Jun  3 14:16:11 2024,AZE-CPSA-DC04,4767,A user account was unlocked,MAD,MSOL_f2675ea66c7b,MAD,bguerrero
Mon Jun  3 14:16:10 2024,AZE-CPSA-DC04,4724,An attempt was made to reset an accounts password,MAD,MSOL_f2675ea66c7b,MAD,bguerrero
Mon Jun  3 14:15:47 2024,AZE-CPSA-DC04,4724,An attempt was made to reset an accounts password,MAD,MSOL_f2675ea66c7b,MAD,bguerrero
Mon Jun  3 14:15:14 2024,AZE-CPSA-DC04,4724,An attempt was made to reset an accounts password,MAD,MSOL_f2675ea66c7b,MAD,bguerrero
Mon Jun  3 14:10:13 2024,ARBA-CPSA-DC03,4723,An attempt was made to change an account's password,MAD,jfiloso,MAD,jfiloso
Mon Jun  3 14:01:20 2024,ARNQ-HPDA-DC,4723,An attempt was made to change an account's password,MAD,celias,MAD,celias
Mon Jun  3 13:59:31 2024,ARBA-CPSA-DC02,4740,A user account was locked out,MAD,ARBA-CPSA-DC02$,ARBA-CPSA-NB017,bguerrero
Mon Jun  3 11:18:51 2024,ARBA-CPSA-DC03,4723,An attempt was made to change an account's password,MAD,Dseif,MAD,Dseif
Mon Jun  3 11:18:14 2024,ARBA-CPSA-DC03,4723,An attempt was made to change an account's password,MAD,AArdiles,MAD,AArdiles
Mon Jun  3 09:54:58 2024,ARBA-CPSA-DC03,4723,An attempt was made to change an account's password,MAD,mrusticucci,MAD,mrusticucci
Mon Jun  3 09:54:13 2024,ARBA-CPSA-DC03,4723,An attempt was made to change an account's password,MAD,mrusticucci,MAD,mrusticucci
Mon Jun  3 09:53:18 2024,ARBA-CPSA-DC03,4723,An attempt was made to change an account's password,MAD,mrusticucci,MAD,mrusticucci
Mon Jun  3 09:31:33 2024,ARBA-CPSA-DC01,4723,An attempt was made to change an account's password,MAD,cflores,MAD,cflores
Mon Jun  3 09:17:54 2024,ARBA-CPSA-DC03,4723,An attempt was made to change an account's password,MAD,Pramirez,MAD,Pramirez
Mon Jun  3 09:15:31 2024,AZE-CPSA-DC04,4767,A user account was unlocked,MAD,MSOL_f2675ea66c7b,MAD,jmammana
Mon Jun  3 09:15:31 2024,AZE-CPSA-DC04,4724,An attempt was made to reset an accounts password,MAD,MSOL_f2675ea66c7b,MAD,jmammana
Mon Jun  3 09:11:11 2024,AZE-CPSA-DC04,4767,A user account was unlocked,MAD,MSOL_f2675ea66c7b,MAD,jmammana
Mon Jun  3 09:06:09 2024,ARMDZ-CTM-DC,4723,An attempt was made to change an account's password,MAD,AYR-Mza,MAD,AYR-Mza
Mon Jun  3 09:03:55 2024,AZE-CPSA-DC04,4767,A user account was unlocked,MAD,MSOL_f2675ea66c7b,MAD,ewieckiewick
Mon Jun  3 09:03:55 2024,AZE-CPSA-DC04,4724,An attempt was made to reset an accounts password,MAD,MSOL_f2675ea66c7b,MAD,ewieckiewick
Mon Jun  3 08:58:18 2024,ARBA-CTCO-DC01,4740,A user account was locked out,MAD,ARBA-CTCO-DC01$,ARBA-CTCO-WS050,jmammana
Mon Jun  3 08:58:18 2024,ARBA-CPSA-DC02,4740,A user account was locked out,MAD,ARBA-CPSA-DC02$,ARBA-CTCO-WS050,jmammana
Mon Jun  3 08:52:37 2024,ARMDZ-CTM-DC,4723,An attempt was made to change an account's password,MAD,SaFernandez,MAD,SaFernandez
Mon Jun  3 08:46:39 2024,ARBA-CTCO-DC01,4723,An attempt was made to change an account's password,MAD,hlarur,MAD,hlarur
Mon Jun  3 08:45:26 2024,ARSF-CGT6-DC01,4723,An attempt was made to change an account's password,MAD,pcettour,MAD,pcettour
Mon Jun  3 08:38:26 2024,ARBA-CPSA-DC03,4723,An attempt was made to change an account's password,MAD,eluis,MAD,eluis
Mon Jun  3 08:35:20 2024,ARSF-CTBL-DC01,4723,An attempt was made to change an account's password,MAD,Gleone,MAD,Gleone
Mon Jun  3 08:18:06 2024,ARSF-CTBL-DC01,4723,An attempt was made to change an account's password,MAD,Fronchi,MAD,Fronchi
Mon Jun  3 08:13:35 2024,ARSF-CGT6-DC01,4723,An attempt was made to change an account's password,MAD,FBrindisi,MAD,FBrindisi
Mon Jun  3 08:06:01 2024,ARBA-CPSA-DC02,4723,An attempt was made to change an account's password,MAD,pcabral,MAD,pcabral
Mon Jun  3 08:05:16 2024,AZE-CPSA-DC04,4767,A user account was unlocked,MAD,MSOL_f2675ea66c7b,MAD,cborelli
Mon Jun  3 08:05:16 2024,AZE-CPSA-DC04,4724,An attempt was made to reset an accounts password,MAD,MSOL_f2675ea66c7b,MAD,cborelli
Mon Jun  3 08:04:24 2024,AZE-CPSA-DC04,4724,An attempt was made to reset an accounts password,MAD,MSOL_f2675ea66c7b,MAD,cborelli
Mon Jun  3 08:03:55 2024,ARBA-CPSA-DC02,4740,A user account was locked out,MAD,ARBA-CPSA-DC02$,ARBA-CPSA-WS011,cborelli
Mon Jun  3 08:03:55 2024,ARBA-CPSA-DC01,4740,A user account was locked out,MAD,ARBA-CPSA-DC01$,ARBA-CPSA-WS011,cborelli
Mon Jun  3 08:02:38 2024,ARSF-CTBL-DC01,4723,An attempt was made to change an account's password,MAD,bbuchini,MAD,bbuchini
Mon Jun  3 08:00:57 2024,ARMDZ-CTM-DC,4723,An attempt was made to change an account's password,MAD,EVauccasso,MAD,EVauccasso
Mon Jun  3 07:11:21 2024,ARBA-CTCO-DC01,4723,An attempt was made to change an account's password,MAD,rnevangelist,MAD,rnevangelist
Mon Jun  3 06:44:46 2024,ARBA-CTCO-DC01,4723,An attempt was made to change an account's password,MAD,ccagliuso,MAD,ccagliuso
Mon Jun  3 06:44:04 2024,ARBA-CTCO-DC01,4723,An attempt was made to change an account's password,MAD,ccagliuso,MAD,ccagliuso
Sun Jun  2 22:39:15 2024,AZE-CPSA-DC04,4724,An attempt was made to reset an accounts password,MAD,MSOL_f2675ea66c7b,MAD,OZanon
Sun Jun  2 22:37:27 2024,AZE-CPSA-DC04,4724,An attempt was made to reset an accounts password,MAD,MSOL_f2675ea66c7b,MAD,OZanon
Sun Jun  2 22:36:29 2024,AZE-CPSA-DC04,4724,An attempt was made to reset an accounts password,MAD,MSOL_f2675ea66c7b,MAD,OZanon
Sun Jun  2 22:35:52 2024,AZE-CPSA-DC04,4724,An attempt was made to reset an accounts password,MAD,MSOL_f2675ea66c7b,MAD,OZanon
Sun Jun  2 19:14:29 2024,ARNQ-HPDA-DC,4723,An attempt was made to change an account's password,MAD,OZanon,MAD,OZanon
Sun Jun  2 12:11:42 2024,ARNQ-HPDA-DC,4723,An attempt was made to change an account's password,MAD,ARNQ-HPDA-VS01$,MAD,ARNQ-HPDA-VS01$
Sun Jun  2 06:54:11 2024,ARBA-CTCO-DC01,4740,A user account was locked out,MAD,ARBA-CTCO-DC01$,ARBA-CTCO-WS037,fmuraco
Sun Jun  2 06:54:11 2024,ARBA-CPSA-DC02,4740,A user account was locked out,MAD,ARBA-CPSA-DC02$,ARBA-CTCO-WS037,fmuraco
Sun Jun  2 04:20:51 2024,ARBA-CTCO-DC01,4723,An attempt was made to change an account's password,MAD,pbigliani,MAD,pbigliani
Sat Jun  1 12:46:30 2024,ARMDZ-CTM-DC,4723,An attempt was made to change an account's password,MAD,ARMDZ-CTM-VS06$,MAD,ARMDZ-CTM-VS06$
Sat Jun  1 10:25:58 2024,ARBA-CPSA-DC01,4723,An attempt was made to change an account's password,MAD,FMaroni,MAD,FMaroni
Sat Jun  1 02:59:22 2024,ARBA-CPSA-BKP04,4726,A user account was deleted,MAD,sv-bkpveeam,ARBA-CPSA-BKP04,Veeam_sa-597A5A58
Sat Jun  1 02:59:22 2024,ARBA-CPSA-BKP04,4726,A user account was deleted,MAD,sv-bkpveeam,ARBA-CPSA-BKP04,Veeam_SA-6DDDA143
Sat Jun  1 02:59:22 2024,ARBA-CPSA-BKP04,4726,A user account was deleted,MAD,sv-bkpveeam,ARBA-CPSA-BKP04,Veeam_SA Ve1F28D929
Sat Jun  1 02:59:22 2024,ARBA-CPSA-BKP04,4726,A user account was deleted,MAD,sv-bkpveeam,ARBA-CPSA-BKP04,Veeam_e.ac-378B550C
Sat Jun  1 01:06:07 2024,ARBA-CPSA-BKP04,4723,An attempt was made to change an account's password,ARBA-CPSA-BKP04,bkp04adm,ARBA-CPSA-BKP04,bkp04adm
