_time,host,EventCode,Accin,Dominio Fuente,Usuario Fuente,Dominio Objetivo,Usuario Objetivo
Fri Jun  7 08:15:27 2024,AZE-CPSA-DC04,4767,A user account was unlocked,MAD,MSOL_f2675ea66c7b,MAD,jcismondi
Fri Jun  7 08:15:27 2024,AZE-CPSA-DC04,4724,An attempt was made to reset an accounts password,MAD,MSOL_f2675ea66c7b,MAD,jcismondi
Fri Jun  7 08:11:45 2024,AZE-CPSA-DC04,4767,A user account was unlocked,MAD,MSOL_f2675ea66c7b,MAD,jcismondi
Fri Jun  7 08:04:54 2024,ARNQ-HPDA-DC,4740,A user account was locked out,MAD,ARNQ-HPDA-DC$,ARMDZ-CTM-WS066,MZ-Enfermero
Fri Jun  7 08:04:54 2024,ARBA-CPSA-DC02,4740,A user account was locked out,MAD,ARBA-CPSA-DC02$,ARMDZ-CTM-WS066,MZ-Enfermero
Fri Jun  7 07:21:59 2024,ARBA-CPSA-DC03,4723,An attempt was made to change an account's password,MAD,jlema,MAD,jlema
Fri Jun  7 07:21:08 2024,ARBA-CPSA-DC03,4723,An attempt was made to change an account's password,MAD,jlema,MAD,jlema
Thu Jun  6 21:46:27 2024,ARBA-CPSA-DC02,4740,A user account was locked out,MAD,ARBA-CPSA-DC02$,ARBA-VOSA-DC01,intranet
Thu Jun  6 20:10:05 2024,ARMDZ-CTM-DC,4723,An attempt was made to change an account's password,MAD,ARMDZ-CTM-VS04$,MAD,ARMDZ-CTM-VS04$
Thu Jun  6 19:51:34 2024,ARBA-CPSA-DC02,4723,An attempt was made to change an account's password,MAD,madadmin,MAD,madadmin
Thu Jun  6 19:10:01 2024,AZE-CPSA-DC04,4767,A user account was unlocked,MAD,MSOL_f2675ea66c7b,MAD,iguevara
Thu Jun  6 19:10:01 2024,AZE-CPSA-DC04,4724,An attempt was made to reset an accounts password,MAD,MSOL_f2675ea66c7b,MAD,iguevara
Thu Jun  6 19:08:09 2024,AZE-CPSA-DC04,4724,An attempt was made to reset an accounts password,MAD,MSOL_f2675ea66c7b,MAD,iguevara
Thu Jun  6 15:34:22 2024,ARBA-CPSA-DC01,4724,An attempt was made to reset an accounts password,MAD,e.fbernardi_adm,MAD,e.jjmartinez
Thu Jun  6 15:31:05 2024,AZE-CPSA-DC04,4724,An attempt was made to reset an accounts password,MAD,MSOL_f2675ea66c7b,MAD,ilarranaga
Thu Jun  6 15:15:02 2024,ARBA-CPSA-DC03,4767,A user account was unlocked,MAD,Readymind1,MAD,mdeleon
Thu Jun  6 15:15:02 2024,ARBA-CPSA-DC03,4724,An attempt was made to reset an accounts password,MAD,Readymind1,MAD,mdeleon
Thu Jun  6 15:08:47 2024,ARBA-CPSA-DC01,4722,A user account was enabled,MAD,e.fbernardi_adm,MAD,e.fegonzalez
Thu Jun  6 15:08:47 2024,ARBA-CPSA-DC01,4724,An attempt was made to reset an accounts password,MAD,e.fbernardi_adm,MAD,e.fegonzalez
Thu Jun  6 15:08:47 2024,ARBA-CPSA-DC01,4720,A user account was created,MAD,e.fbernardi_adm,MAD,e.fegonzalez
Thu Jun  6 14:43:01 2024,ARBA-CPSA-DC01,4723,An attempt was made to change an account's password,MAD,ktorrico,MAD,ktorrico
Thu Jun  6 14:37:48 2024,AZE-CPSA-DC04,4767,A user account was unlocked,MAD,MSOL_f2675ea66c7b,MAD,cmarconi
